game_id,personid,status,order_num,jerseynum,position,starter,oncourt,played,name,assists,blocks,blocksreceived,fieldgoalsattempted,fieldgoalsmade,fieldgoalspercentage,foulsoffensive,foulsdrawn,foulspersonal,foulstechnical,freethrowsattempted,freethrowsmade,freethrowspercentage,minus,minutes,minutescalculated,plus,plusminuspoints,points,pointsfastbreak,pointsinthepaint,pointssecondchance,reboundsdefensive,reboundsoffensive,reboundstotal,steals,threepointersattempted,threepointersmade,threepointerspercentage,turnovers,twopointersattempted,twopointersmade,twopointerspercentage,dd,td,fpts,team
0022400131,201935,ACTIVE,5,1,PG,True,True,True,James Harden,13,2,0,19,8,0.42105263157894696,0,7,2,0,7,6,0.857142857142857,93.0,PT35M41.00S,PT36M,91.0,-2.0,25,8,8,0,10,0,10,2,10,3,0.3,6,9,5,0.555555555555556,True,True,68.0,Clippers
0022400131,1630539,ACTIVE,6,23,,False,False,True,Kai Jones,0,1,0,1,0,0.0,0,0,0,0,0,0,0.0,21.0,PT09M46.00S,PT10M,24.0,3.0,0,0,0,0,1,1,2,0,0,0,0.0,1,1,0,0.0,False,False,4.0,Clippers
0022400131,1629645,ACTIVE,7,77,,False,False,True,Kevin Porter Jr.,2,1,0,12,6,0.5,0,2,2,0,2,2,1.0,46.0,PT17M22.00S,PT17M,36.0,-10.0,14,2,12,0,4,1,5,0,3,0,0.0,2,9,6,0.666666666666666,False,False,24.25,Clippers
0022400131,1627739,ACTIVE,8,8,,False,False,True,Kris Dunn,2,0,0,5,2,0.4,0,1,3,0,0,0,0.0,55.0,PT23M32.92S,PT24M,56.0,1.0,6,0,0,3,1,3,4,0,2,2,1.0,0,3,0,0.0,False,False,15.0,Clippers
0022400131,201587,ACTIVE,9,33,,False,True,True,Nicolas Batum,3,4,1,4,1,0.25,0,0,2,0,0,0,0.0,55.0,PT21M30.08S,PT21M,51.0,-4.0,3,0,0,0,4,1,5,0,3,1,0.333333333333333,1,1,0,0.0,False,False,21.75,Clippers
0022400131,1629599,ACTIVE,10,7,,False,False,True,Amir Coffey,0,0,0,3,2,0.666666666666666,0,2,3,0,3,2,0.666666666666666,27.0,PT10M28.00S,PT10M,22.0,-5.0,7,4,2,0,1,0,1,0,1,1,1.0,0,2,1,0.5,False,False,8.75,Clippers
0022400131,1641738,ACTIVE,11,21,,False,False,False,Kobe Brown,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,1630538,ACTIVE,12,5,,False,False,False,Bones Hyland,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,1641757,ACTIVE,13,11,,False,False,False,Jordan Miller,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
0022400131,1628964,INACTIVE,14,4,,False,False,False,Mo Bamba,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,False,False,0.0,Clippers
