position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SG/SF,Jaden Springer (37142483),Jaden Springer,37142483,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,3.5,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jadenspringer,1630531,2024-12-25,Turbo1
PG,JD Davison (37142503),JD Davison,37142503,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,1.9,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jddavison,1631120,2024-12-25,Turbo1
C,Adem Bona (37142509),Adem Bona,37142509,C/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,4.55,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,adembona,1641737,2024-12-25,Turbo1
SG/SF,Jordan Walsh (37142519),Jordan Walsh,37142519,SG/SF/F/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,BOS,4.1,2024-12-25 17:00:00-05:00,PHI,1610612738,1610612755,jordanwalsh,1641775,2024-12-25,Turbo1
PG,Jared McCain (37142529),Jared McCain,37142529,PG/G/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,23.94,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,jaredmccain,1642272,2024-12-25,Turbo1
SF,Justin Edwards (37142532),Justin Edwards,37142532,SF/F/UTIL,3000,PHI@BOS 12/25/2024 05:00PM ET,PHI,4.0,2024-12-25 17:00:00-05:00,BOS,1610612755,1610612738,justinedwards,1642348,2024-12-25,Turbo1
PF/C,Markieff Morris (37142323),Markieff Morris,37142323,PF/C/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,3.94,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,markieffmorris,202693,2024-12-25,Turbo1
C,Dwight Powell (37142335),Dwight Powell,37142335,C/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,5.99,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,dwightpowell,203939,2024-12-25,Turbo1
PF,Joe Ingles (37142337),Joe Ingles,37142337,PF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,MIN,2.21,2024-12-25 14:30:00-05:00,DAL,1610612750,1610612742,joeingles,204060,2024-12-25,Turbo1
SF,Dante Exum (37142359),Dante Exum,37142359,SF/F/UTIL,3000,MIN@DAL 12/25/2024 02:30PM ET,DAL,0.0,2024-12-25 14:30:00-05:00,MIN,1610612742,1610612750,danteexum,203957,2024-12-25,Turbo1
