position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
C,Kevin Love (37170873),Kevin Love,37170873,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.5,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,kevinlove,201567,2024-12-29,Night
PG,Josh Richardson (37170890),Josh Richardson,37170890,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,10.25,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,joshrichardson,1626196,2024-12-29,Night
C,Steven Adams (37170893),Steven Adams,37170893,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,9.03,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,stevenadams,203500,2024-12-29,Night
C,Jock Landale (37170925),Jock Landale,37170925,C/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.47,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jocklandale,1629111,2024-12-29,Night
SG,Jack McVeigh (37170940),Jack McVeigh,37170940,SG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,2.83,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jackmcveigh,1629098,2024-12-29,Night
PG,Aaron Holiday (37170943),Aaron Holiday,37170943,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,7.82,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,aaronholiday,1628988,2024-12-29,Night
PG,Dru Smith (37170969),Dru Smith,37170969,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.79,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,drusmith,1630696,2024-12-29,Night
PG/SF,Nate Williams (37171050),Nate Williams,37171050,PG/SF/F/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,HOU,4.42,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,natewilliams,1631466,2024-12-29,Night
SF/PF,Keshad Johnson (37171086),Keshad Johnson,37171086,SF/PF/F/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,1.92,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,keshadjohnson,1642352,2024-12-29,Night
PG,Isaiah Stevens (37171103),Isaiah Stevens,37171103,PG/G/UTIL,3000,MIA@HOU 12/29/2024 07:00PM ET,MIA,0.0,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,isaiahstevens,1641815,2024-12-29,Night
