Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Cam Whitmore (37171187),Cam Whitmore,37171187,SF/PF/F/UTIL,4200,MIA@HOU 12/29/2024 07:00PM ET,HOU,13.36
SF/PF,Jake LaRavia (37171055),Jake LaRavia,37171055,SF/PF/F/UTIL,4200,MEM@OKC 12/29/2024 07:00PM ET,MEM,21.71
PG/SG,Cason Wallace (37171183),Cason Wallace,37171183,PG/SG/G/UTIL,4200,MEM@OKC 12/29/2024 07:00PM ET,OKC,19.16
SF,Jaden McDaniels (37171080),Jaden McDaniels,37171080,SF/F/UTIL,4200,SAS@MIN 12/29/2024 08:00PM ET,MIN,22.08
PG/SG,Marcus Smart (37170895),Marcus Smart,37170895,PG/SG/G/UTIL,4100,MEM@OKC 12/29/2024 07:00PM ET,MEM,20.92
PG/SG,Donte DiVincenzo (37170954),Donte DiVincenzo,37170954,PG/SG/G/UTIL,4100,SAS@MIN 12/29/2024 08:00PM ET,MIN,21.69
PF/C,Nikola Jovic (37171164),Nikola Jovic,37171164,PF/C/F/UTIL,4000,MIA@HOU 12/29/2024 07:00PM ET,MIA,16.8
SG/SF,Alex Caruso (37170899),Alex Caruso,37170899,SG/SF/F/G/UTIL,4000,MEM@OKC 12/29/2024 07:00PM ET,OKC,17.54
SG/SF,Luke Kennard (37170949),Luke Kennard,37170949,SG/SF/F/G/UTIL,3900,MEM@OKC 12/29/2024 07:00PM ET,MEM,16.58
PG/SG,Stephon Castle (37171215),Stephon Castle,37171215,PG/SG/G/UTIL,3900,SAS@MIN 12/29/2024 08:00PM ET,SAS,21.94
SF/PF,Aaron Wiggins (37171011),Aaron Wiggins,37171011,SF/PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,OKC,16.85
PF,Vince Williams Jr. (37171038),Vince Williams Jr.,37171038,PF/F/UTIL,3800,MEM@OKC 12/29/2024 07:00PM ET,MEM,14.75
