Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Drew Peterson (37170714),Drew Peterson,37170714,PF/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,7.69
SG/SF,Jaden Springer (37170717),Jaden Springer,37170717,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,3.84
PF/C,Xavier Tillman (37170722),Xavier Tillman,37170722,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,4.71
SF,Anton Watson (37170726),Anton Watson,37170726,SF/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,BOS,0
PF/C,James Johnson (37170813),James Johnson,37170813,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,3.9
PG/SG,Quenton Jackson (37170817),Quenton Jackson,37170817,PG/SG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,13.08
PG,Tristen Newton (37170821),Tristen Newton,37170821,PG/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,0.8
PF/C,Enrique Freeman (37170824),Enrique Freeman,37170824,PF/C/F/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,3.47
SG/SF,Johnny Furphy (37170828),Johnny Furphy,37170828,SG/SF/F/G/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,7.20
C,Isaiah Jackson (37170833),Isaiah Jackson,37170833,C/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,19.4
C,James Wiseman (37170835),James Wiseman,37170835,C/UTIL,3000,IND@BOS 12/29/2024 06:00PM ET,IND,7.25
SG,Garrett Temple (37170662),Garrett Temple,37170662,SG/G/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,TOR,3.05
C,Ulrich Chomche (37170665),Ulrich Chomche,37170665,C/UTIL,3000,ATL@TOR 12/29/2024 06:00PM ET,TOR,2.5
