position,nameid,name,id,rosterposition,salary,gameinfo,teamabbrev,avgpointspergame,datetime,opp,team_id,opp_team_id,shortname,player_id,game_date,slateid
SF/PF,Haywood Highsmith (37170621),Haywood Highsmith,37170621,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,MIA,15.71,2024-12-29 19:00:00-05:00,HOU,1610612748,1610612745,haywoodhighsmith,1629312,2024-12-29,Main
SF/PF,Jae'Sean Tate (37170625),Jae'Sean Tate,37170625,SF/PF/F/UTIL,3300,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.25,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,jaeseantate,1630256,2024-12-29,Main
PG,Ajay Mitchell (37170614),Ajay Mitchell,37170614,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,OKC,12.6,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,ajaymitchell,1642349,2024-12-29,Main
PG,Yuki Kawamura (37170629),Yuki Kawamura,37170629,PG/G/UTIL,3300,MEM@OKC 12/29/2024 07:00PM ET,MEM,2.11,2024-12-29 19:00:00-05:00,OKC,1610612763,1610612760,yukikawamura,1642530,2024-12-29,Main
C,Zach Collins (37170612),Zach Collins,37170612,C/UTIL,3300,SAS@MIN 12/29/2024 08:00PM ET,SAS,14.35,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,zachcollins,1628380,2024-12-29,Main
SF,Jamison Battle (37170638),Jamison Battle,37170638,SF/F/UTIL,3200,ATL@TOR 12/29/2024 06:00PM ET,TOR,11.02,2024-12-29 18:00:00-05:00,ATL,1610612761,1610612737,jamisonbattle,1642419,2024-12-29,Main
PF/C,Kenrich Williams (37170634),Kenrich Williams,37170634,PF/C/F/UTIL,3200,MEM@OKC 12/29/2024 07:00PM ET,OKC,13.57,2024-12-29 19:00:00-05:00,MEM,1610612760,1610612763,kenrichwilliams,1629026,2024-12-29,Main
C,Charles Bassey (37170632),Charles Bassey,37170632,C/UTIL,3200,SAS@MIN 12/29/2024 08:00PM ET,SAS,13.8,2024-12-29 20:00:00-05:00,MIN,1610612759,1610612750,charlesbassey,1629646,2024-12-29,Main
PG/SG,Vit Krejci (37170650),Vit Krejci,37170650,PG/SG/G/UTIL,3100,ATL@TOR 12/29/2024 06:00PM ET,ATL,9.08,2024-12-29 18:00:00-05:00,TOR,1610612737,1610612761,vitkrejci,1630249,2024-12-29,Main
PG/SG,Reed Sheppard (37170646),Reed Sheppard,37170646,PG/SG/G/UTIL,3100,MIA@HOU 12/29/2024 07:00PM ET,HOU,8.66,2024-12-29 19:00:00-05:00,MIA,1610612745,1610612748,reedsheppard,1642263,2024-12-29,Main
